€400,000 	 Carrowbeg, Westport, Mayo
Guide Price €130,000 	 23 Ard Rua, Claremorris, Co. Mayo
€310,000 	 3 The Woodlands,Mount Falcon,Ballina,Co Mayo,F26 V6R9
€79,000 	 Chapel St,Swinford,Co Mayo,F12 PY62
€55,000 	 Clossagh,Foxford,Co Mayo
AMV €950,000 	 Ballycurrin Demesne, Ower, Claremorris, Mayo
€130,000 	 Apartment B9, Block B, Cormullen, Foxford, Co. Mayo, Foxford, Mayo
€175,000 	 110 Childers Heights, Ballina, Mayo
€599,000 	 Rosmoney House, Rosmoney, Westport, Co. Mayo
€100,000 	 Drumbaun, Ballyhaunis, Mayo
€130,000 	 Dowagh West, Cross, Claremorris, Co. Mayo
POA 	 Barnahowna, Tourmakeady, Mayo
€160,000 	 Apartment 21 The Beech, Spencer Manor, Castlebar, Mayo
€295,000 	 Coogue Middle, Ballyhaunis, Mayo
€145,000 	 18 Grattan Close,Claremorris,Co. Mayo,F12 F5D8
€130,000 	 111 The Maples Hazelhill, Ballyhaunis, Mayo
€165,000 	 Glencarra, Knock, Mayo
€330,000 	" "" Creteboom "" Quay Road, Ballina, Mayo"
€695,000 	 Killadangan, Westport, Mayo
€325,000 	 Cross, Killadoon, Louisburgh, Mayo
€495,000 	 Aillemore, Louisburgh, Mayo, F28Y327
